fixIdx,legIdx,zoneIdx,tickLead,tickRace,time,lat,lng,alt,togo
1,0,1,429.195120707133,81.59502864206,2018-05-26T11:09:48Z,43.82981667,16.64236667,0.00,41.438
2,0,2,509.195120707133,161.59502864206,2018-05-26T11:11:08Z,43.82973333,16.64231667,0.00,41.431
3,0,3,1009.195120707133,661.59502864206,2018-05-26T11:19:28Z,43.82933333,16.64216667,0.00,41.401
4,0,4,1017.195120707133,669.59502864206,2018-05-26T11:19:36Z,43.82885000,16.64215000,0.00,41.378
5,0,5,1025.195120707133,677.59502864206,2018-05-26T11:19:44Z,43.82846667,16.64201667,0.00,41.352
6,0,6,1033.195120707133,685.59502864206,2018-05-26T11:19:52Z,43.82818333,16.64115000,0.00,41.276
7,0,7,1037.195120707133,689.59502864206,2018-05-26T11:19:56Z,43.82801667,16.64071667,0.00,41.237
8,0,8,1041.195120707133,693.59502864206,2018-05-26T11:20:00Z,43.82788333,16.64020000,0.00,41.193
9,0,9,1049.195120707133,701.59502864206,2018-05-26T11:20:08Z,43.82735000,16.63983333,0.00,41.144
10,0,10,1053.195120707133,705.59502864206,2018-05-26T11:20:12Z,43.82708333,16.63955000,0.00,41.113
11,1,1,1057.195120707133,709.59502864206,2018-05-26T11:20:16Z,43.82685000,16.63913333,0.00,41.073
12,1,2,1061.195120707133,713.59502864206,2018-05-26T11:20:20Z,43.82666667,16.63873333,0.00,41.036
13,1,3,1065.195120707133,717.59502864206,2018-05-26T11:20:24Z,43.82665000,16.63821667,0.00,40.996
14,1,4,1073.195120707133,725.59502864206,2018-05-26T11:20:32Z,43.82663333,16.63715000,0.00,40.915
15,1,5,1077.195120707133,729.59502864206,2018-05-26T11:20:36Z,43.82663333,16.63658333,0.00,40.872
16,1,6,1085.195120707133,737.59502864206,2018-05-26T11:20:44Z,43.82661667,16.63561667,0.00,40.799
17,1,7,1089.195120707133,741.59502864206,2018-05-26T11:20:48Z,43.82651667,16.63520000,0.00,40.764
18,1,8,1097.195120707133,749.59502864206,2018-05-26T11:20:56Z,43.82636667,16.63438333,0.00,40.697
19,1,9,1105.195120707133,757.59502864206,2018-05-26T11:21:04Z,43.82631667,16.63355000,0.00,40.633
20,1,10,1109.195120707133,761.59502864206,2018-05-26T11:21:08Z,43.82631667,16.63305000,0.00,40.596
21,1,11,1117.195120707133,769.59502864206,2018-05-26T11:21:16Z,43.82621667,16.63213333,0.00,40.525
22,2,1,1121.195120707133,773.59502864206,2018-05-26T11:21:20Z,43.82621667,16.63160000,0.00,40.486
23,2,2,1125.195120707133,777.59502864206,2018-05-26T11:21:24Z,43.82621667,16.63106667,0.00,40.448
24,2,3,1133.195120707133,785.59502864206,2018-05-26T11:21:32Z,43.82606667,16.63011667,0.00,40.372
25,2,4,1137.195120707133,789.59502864206,2018-05-26T11:21:36Z,43.82600000,16.62958333,0.00,40.331
