fixIdx,time,lat,lng,tickLead,tickRace,zoneIdx,legIdx,distance,area
17,2018-05-26T11:09:16Z,43.82966667,16.64231667,143.92589111362,49.933754320065,1,0,41.495,
18,2018-05-26T11:09:17Z,43.82965000,16.64231667,144.92589111362,50.933754320065,2,0,41.494,
19,2018-05-26T11:09:18Z,43.82965000,16.64230000,145.92589111362,51.933754320065,3,0,41.493,
20,2018-05-26T11:09:19Z,43.82965000,16.64230000,146.92589111362,52.933754320065,4,0,41.493,
21,2018-05-26T11:09:20Z,43.82963333,16.64228333,147.92589111362,53.933754320065,5,0,41.491,
22,2018-05-26T11:09:21Z,43.82961667,16.64225000,148.92589111362,54.933754320065,6,0,41.488,
23,2018-05-26T11:09:22Z,43.82958333,16.64221667,149.92589111362,55.933754320065,7,0,41.484,
24,2018-05-26T11:09:23Z,43.82955000,16.64218333,150.92589111362,56.933754320065,8,0,41.48,
25,2018-05-26T11:09:24Z,43.82951667,16.64215000,151.92589111362,57.933754320065,9,0,41.476,
26,2018-05-26T11:09:25Z,43.82946667,16.64211667,152.92589111362,58.933754320065,10,0,41.471,
27,2018-05-26T11:09:26Z,43.82943333,16.64208333,153.92589111362,59.933754320065,11,0,41.467,
28,2018-05-26T11:09:27Z,43.82940000,16.64206667,154.92589111362,60.933754320065,12,0,41.464,
29,2018-05-26T11:09:28Z,43.82935000,16.64206667,155.92589111362,61.933754320065,13,0,41.462,
30,2018-05-26T11:09:29Z,43.82928333,16.64210000,156.92589111362,62.933754320065,14,0,41.462,
31,2018-05-26T11:09:30Z,43.82923333,16.64215000,157.92589111362,63.933754320065,15,0,41.463,
32,2018-05-26T11:09:31Z,43.82916667,16.64218333,158.92589111362,64.933754320065,16,0,41.462,
33,2018-05-26T11:09:32Z,43.82911667,16.64221667,159.92589111362,65.933754320065,17,0,41.463,
34,2018-05-26T11:09:33Z,43.82905000,16.64225000,160.92589111362,66.933754320065,18,0,41.462,
35,2018-05-26T11:09:34Z,43.82900000,16.64228333,161.92589111362,67.933754320065,19,0,41.462,
36,2018-05-26T11:09:35Z,43.82891667,16.64233333,162.92589111362,68.933754320065,20,0,41.462,
37,2018-05-26T11:09:36Z,43.82885000,16.64238333,163.92589111362,69.933754320065,21,0,41.463,
38,2018-05-26T11:09:37Z,43.82878333,16.64245000,164.92589111362,70.933754320065,22,0,41.465,
39,2018-05-26T11:09:38Z,43.82873333,16.64250000,165.92589111362,71.933754320065,23,0,41.467,
40,2018-05-26T11:09:39Z,43.82866667,16.64255000,166.92589111362,72.933754320065,24,0,41.468,
41,2018-05-26T11:09:40Z,43.82860000,16.64261667,167.92589111362,73.933754320065,25,0,41.47,
42,2018-05-26T11:09:41Z,43.82853333,16.64266667,168.92589111362,74.933754320065,26,0,41.471,
43,2018-05-26T11:09:42Z,43.82848333,16.64271667,169.92589111362,75.933754320065,27,0,41.473,
44,2018-05-26T11:09:43Z,43.82843333,16.64275000,170.92589111362,76.933754320065,28,0,41.473,
45,2018-05-26T11:09:44Z,43.82838333,16.64278333,171.92589111362,77.933754320065,29,0,41.474,
46,2018-05-26T11:09:45Z,43.82833333,16.64281667,172.92589111362,78.933754320065,30,0,41.474,
47,2018-05-26T11:09:46Z,43.82826667,16.64285000,173.92589111362,79.933754320065,31,0,41.474,
48,2018-05-26T11:09:47Z,43.82820000,16.64290000,174.92589111362,80.933754320065,32,0,41.475,
49,2018-05-26T11:09:48Z,43.82813333,16.64291667,175.92589111362,81.933754320065,33,0,41.474,
50,2018-05-26T11:09:49Z,43.82806667,16.64295000,176.92589111362,82.933754320065,34,0,41.474,
51,2018-05-26T11:09:50Z,43.82800000,16.64298333,177.92589111362,83.933754320065,35,0,41.474,
52,2018-05-26T11:09:51Z,43.82795000,16.64301667,178.92589111362,84.933754320065,36,0,41.475,
53,2018-05-26T11:09:52Z,43.82788333,16.64303333,179.92589111362,85.933754320065,37,0,41.474,
54,2018-05-26T11:09:53Z,43.82780000,16.64308333,180.92589111362,86.933754320065,38,0,41.474,
55,2018-05-26T11:09:54Z,43.82775000,16.64311667,181.92589111362,87.933754320065,39,0,41.475,
56,2018-05-26T11:09:55Z,43.82768333,16.64316667,182.92589111362,88.933754320065,40,0,41.476,
57,2018-05-26T11:09:56Z,43.82761667,16.64321667,183.92589111362,89.933754320065,41,0,41.478,
58,2018-05-26T11:09:57Z,43.82756667,16.64328333,184.92589111362,90.933754320065,42,0,41.481,
59,2018-05-26T11:09:58Z,43.82750000,16.64333333,185.92589111362,91.933754320065,43,0,41.483,
60,2018-05-26T11:09:59Z,43.82745000,16.64338333,186.92589111362,92.933754320065,44,0,41.485,
61,2018-05-26T11:10:00Z,43.82738333,16.64343333,187.92589111362,93.933754320065,45,0,41.486,
62,2018-05-26T11:10:01Z,43.82733333,16.64348333,188.92589111362,94.933754320065,46,0,41.489,
63,2018-05-26T11:10:02Z,43.82726667,16.64353333,189.92589111362,95.933754320065,47,0,41.49,
64,2018-05-26T11:10:03Z,43.82720000,16.64358333,190.92589111362,96.933754320065,48,0,41.492,
