leg,time,lat,lng,tickLead,tickRace,distance
0,2018-05-27T10:51:16Z,43.82975000,16.64241667,-519.0,-824.0,30.39
0,2018-05-27T10:51:21Z,43.82975000,16.64241667,-514.0,-819.0,30.39
0,2018-05-27T10:51:26Z,43.82975000,16.64240000,-509.0,-814.0,30.388
0,2018-05-27T10:51:31Z,43.82975000,16.64240000,-504.0,-809.0,30.388
0,2018-05-27T10:51:35Z,43.82975000,16.64240000,-500.0,-805.0,30.388
0,2018-05-27T10:51:39Z,43.82975000,16.64238333,-496.0,-801.0,30.387
0,2018-05-27T10:51:43Z,43.82975000,16.64236667,-492.0,-797.0,30.386
0,2018-05-27T10:51:47Z,43.82975000,16.64236667,-488.0,-793.0,30.386
0,2018-05-27T10:51:51Z,43.82973333,16.64236667,-484.0,-789.0,30.385
0,2018-05-27T10:51:56Z,43.82951667,16.64226667,-479.0,-784.0,30.374
0,2018-05-27T10:52:00Z,43.82931667,16.64225000,-475.0,-780.0,30.368
0,2018-05-27T10:52:04Z,43.82918333,16.64225000,-471.0,-776.0,30.365
0,2018-05-27T10:52:08Z,43.82891667,16.64198333,-467.0,-772.0,30.338
0,2018-05-27T10:52:13Z,43.82875000,16.64148333,-462.0,-767.0,30.296
0,2018-05-27T10:52:17Z,43.82861667,16.64098333,-458.0,-763.0,30.253
0,2018-05-27T10:52:22Z,43.82850000,16.64043333,-453.0,-758.0,30.208
0,2018-05-27T10:52:26Z,43.82831667,16.64015000,-449.0,-754.0,30.182
0,2018-05-27T10:52:30Z,43.82805000,16.64000000,-445.0,-750.0,30.165
0,2018-05-27T10:52:35Z,43.82778333,16.63968333,-440.0,-745.0,30.135
0,2018-05-27T10:52:40Z,43.82776667,16.63925000,-435.0,-740.0,30.101
0,2018-05-27T10:52:44Z,43.82816667,16.63906667,-431.0,-736.0,30.093
0,2018-05-27T10:52:49Z,43.82850000,16.63965000,-426.0,-731.0,30.146
0,2018-05-27T10:52:54Z,43.82838333,16.64008333,-421.0,-726.0,30.178
