fixIdx,time,lat,lng,tickLead,tickRace,zoneIdx,legIdx,distance,area
460,,,,-431.91207260047,-500.179693565776,1,0,29.412,0.0
475,,,,-416.91207260047,-485.179693565776,16,0,29.41,0.0
476,,,,-415.91207260047,-484.179693565776,17,0,29.407,0.0
477,,,,-414.91207260047,-483.179693565776,18,0,29.403,0.0
478,,,,-413.91207260047,-482.179693565776,19,0,29.4,0.0
479,,,,-412.91207260047,-481.179693565776,20,0,29.398,0.0
480,,,,-411.91207260047,-480.179693565776,21,0,29.396,0.0
481,,,,-410.91207260047,-479.179693565776,22,0,29.392,0.0
482,,,,-409.91207260047,-478.179693565776,23,0,29.386,0.0
483,,,,-408.91207260047,-477.179693565776,24,0,29.38,0.0
484,,,,-407.91207260047,-476.179693565776,25,0,29.376,0.0
485,,,,-406.91207260047,-475.179693565776,26,0,29.372,0.0
486,,,,-405.91207260047,-474.179693565776,27,0,29.366,0.0
487,,,,-404.91207260047,-473.179693565776,28,0,29.365,0.0
488,,,,-403.91207260047,-472.179693565776,29,0,29.362,0.0
497,,,,-394.91207260047,-463.179693565776,38,0,29.356,0.0
498,,,,-393.91207260047,-462.179693565776,39,0,29.347,0.0
499,,,,-392.91207260047,-461.179693565776,40,0,29.342,0.0
500,,,,-391.91207260047,-460.179693565776,41,0,29.34,0.0
502,,,,-389.91207260047,-458.179693565776,43,0,29.339,0.0
516,,,,-375.91207260047,-444.179693565776,57,0,29.336,0.0
517,,,,-374.91207260047,-443.179693565776,58,0,29.334,0.0
518,,,,-373.91207260047,-442.179693565776,59,0,29.332,0.0
519,,,,-372.91207260047,-441.179693565776,60,0,29.326,0.0
520,,,,-371.91207260047,-440.179693565776,61,0,29.322,0.0
521,,,,-370.91207260047,-439.179693565776,62,0,29.318,0.0
522,,,,-369.91207260047,-438.179693565776,63,0,29.313,0.0
523,,,,-368.91207260047,-437.179693565776,64,0,29.307,0.0
524,,,,-367.91207260047,-436.179693565776,65,0,29.301,0.0
525,,,,-366.91207260047,-435.179693565776,66,0,29.296,0.0
526,,,,-365.91207260047,-434.179693565776,67,0,29.29,0.0
527,,,,-364.91207260047,-433.179693565776,68,0,29.285,0.0
528,,,,-363.91207260047,-432.179693565776,69,0,29.28,0.0
529,,,,-362.91207260047,-431.179693565776,70,0,29.274,0.0
530,,,,-361.91207260047,-430.179693565776,71,0,29.268,0.0
531,,,,-360.91207260047,-429.179693565776,72,0,29.263,0.0
532,,,,-359.91207260047,-428.179693565776,73,0,29.257,0.0
533,,,,-358.91207260047,-427.179693565776,74,0,29.25,0.0
534,,,,-357.91207260047,-426.179693565776,75,0,29.243,0.0
535,,,,-356.91207260047,-425.179693565776,76,0,29.236,0.0
536,,,,-355.91207260047,-424.179693565776,77,0,29.229,0.0
537,,,,-354.91207260047,-423.179693565776,78,0,29.222,0.0
538,,,,-353.91207260047,-422.179693565776,79,0,29.214,0.0
539,,,,-352.91207260047,-421.179693565776,80,0,29.206,0.0
540,,,,-351.91207260047,-420.179693565776,81,0,29.198,0.0
541,,,,-350.91207260047,-419.179693565776,82,0,29.191,0.0
542,,,,-349.91207260047,-418.179693565776,83,0,29.182,0.0
543,,,,-348.91207260047,-417.179693565776,84,0,29.172,0.0
544,,,,-347.91207260047,-416.179693565776,85,0,29.164,0.0
545,,,,-346.91207260047,-415.179693565776,1,1,29.156,0.0
546,,,,-345.91207260047,-414.179693565776,2,1,29.146,0.0
547,,,,-344.91207260047,-413.179693565776,3,1,29.138,0.0
548,,,,-343.91207260047,-412.179693565776,4,1,29.127,0.0
549,,,,-342.91207260047,-411.179693565776,5,1,29.119,0.0
550,,,,-341.91207260047,-410.179693565776,6,1,29.112,0.0
551,,,,-340.91207260047,-409.179693565776,7,1,29.103,0.0
552,,,,-339.91207260047,-408.179693565776,8,1,29.096,0.0
553,,,,-338.91207260047,-407.179693565776,9,1,29.09,0.0
585,,,,-306.91207260047,-375.179693565776,41,1,29.086,0.0
586,,,,-305.91207260047,-374.179693565776,42,1,29.077,0.0
587,,,,-304.91207260047,-373.179693565776,43,1,29.069,0.0
588,,,,-303.91207260047,-372.179693565776,44,1,29.061,0.0
589,,,,-302.91207260047,-371.179693565776,45,1,29.053,0.0
590,,,,-301.91207260047,-370.179693565776,46,1,29.043,0.0
591,,,,-300.91207260047,-369.179693565776,47,1,29.034,0.0
592,,,,-299.91207260047,-368.179693565776,48,1,29.028,0.0
593,,,,-298.91207260047,-367.179693565776,49,1,29.021,0.0
594,,,,-297.91207260047,-366.179693565776,50,1,29.015,0.0
595,,,,-296.91207260047,-365.179693565776,51,1,29.006,0.0
596,,,,-295.91207260047,-364.179693565776,52,1,28.995,0.0
597,,,,-294.91207260047,-363.179693565776,53,1,28.985,0.0
598,,,,-293.91207260047,-362.179693565776,54,1,28.974,0.0
599,,,,-292.91207260047,-361.179693565776,55,1,28.966,0.0
600,,,,-291.91207260047,-360.179693565776,56,1,28.96,0.0
601,,,,-290.91207260047,-359.179693565776,57,1,28.951,0.0
602,,,,-289.91207260047,-358.179693565776,58,1,28.943,0.0
603,,,,-288.91207260047,-357.179693565776,59,1,28.937,0.0
604,,,,-287.91207260047,-356.179693565776,60,1,28.934,0.0
605,,,,-286.91207260047,-355.179693565776,61,1,28.929,0.0
606,,,,-285.91207260047,-354.179693565776,62,1,28.925,0.0
607,,,,-284.91207260047,-353.179693565776,63,1,28.921,0.0
608,,,,-283.91207260047,-352.179693565776,64,1,28.913,0.0
609,,,,-282.91207260047,-351.179693565776,65,1,28.906,0.0
610,,,,-281.91207260047,-350.179693565776,66,1,28.902,0.0
611,,,,-280.91207260047,-349.179693565776,67,1,28.897,0.0
680,,,,-211.91207260047,-280.179693565776,136,1,28.896,0.0
681,,,,-210.91207260047,-279.179693565776,137,1,28.887,0.0
682,,,,-209.91207260047,-278.179693565776,138,1,28.877,0.0
683,,,,-208.91207260047,-277.179693565776,139,1,28.867,0.0
684,,,,-207.91207260047,-276.179693565776,140,1,28.859,0.0
685,,,,-206.91207260047,-275.179693565776,141,1,28.85,0.0
686,,,,-205.91207260047,-274.179693565776,142,1,28.843,0.0
687,,,,-204.91207260047,-273.179693565776,143,1,28.833,0.0
688,,,,-203.91207260047,-272.179693565776,144,1,28.825,0.0
689,,,,-202.91207260047,-271.179693565776,145,1,28.817,0.0
690,,,,-201.91207260047,-270.179693565776,146,1,28.81,0.0
691,,,,-200.91207260047,-269.179693565776,147,1,28.802,0.0
692,,,,-199.91207260047,-268.179693565776,148,1,28.793,0.0
693,,,,-198.91207260047,-267.179693565776,149,1,28.784,0.0
694,,,,-197.91207260047,-266.179693565776,150,1,28.775,0.0
695,,,,-196.91207260047,-265.179693565776,151,1,28.765,0.0
696,,,,-195.91207260047,-264.179693565776,152,1,28.755,0.0
697,,,,-194.91207260047,-263.179693565776,153,1,28.747,0.0
698,,,,-193.91207260047,-262.179693565776,154,1,28.739,0.0
699,,,,-192.91207260047,-261.179693565776,155,1,28.733,0.0
700,,,,-191.91207260047,-260.179693565776,156,1,28.726,0.0
701,,,,-190.91207260047,-259.179693565776,157,1,28.724,0.0
716,,,,-175.91207260047,-244.179693565776,172,1,28.723,0.0
717,,,,-174.91207260047,-243.179693565776,173,1,28.716,0.0
718,,,,-173.91207260047,-242.179693565776,174,1,28.708,0.0
719,,,,-172.91207260047,-241.179693565776,175,1,28.701,0.0
720,,,,-171.91207260047,-240.179693565776,176,1,28.694,0.0
721,,,,-170.91207260047,-239.179693565776,177,1,28.689,0.0
722,,,,-169.91207260047,-238.179693565776,178,1,28.683,0.0
723,,,,-168.91207260047,-237.179693565776,179,1,28.676,0.0
724,,,,-167.91207260047,-236.179693565776,180,1,28.669,0.0
725,,,,-166.91207260047,-235.179693565776,181,1,28.663,0.0
726,,,,-165.91207260047,-234.179693565776,182,1,28.655,0.0
727,,,,-164.91207260047,-233.179693565776,183,1,28.648,0.0
728,,,,-163.91207260047,-232.179693565776,184,1,28.638,0.0
729,,,,-162.91207260047,-231.179693565776,185,1,28.628,0.0
730,,,,-161.91207260047,-230.179693565776,186,1,28.621,0.0
731,,,,-160.91207260047,-229.179693565776,187,1,28.614,0.0
732,,,,-159.91207260047,-228.179693565776,188,1,28.608,0.0
733,,,,-158.91207260047,-227.179693565776,189,1,28.602,0.0
734,,,,-157.91207260047,-226.179693565776,190,1,28.595,0.0
735,,,,-156.91207260047,-225.179693565776,191,1,28.588,0.0
736,,,,-155.91207260047,-224.179693565776,192,1,28.584,0.0
737,,,,-154.91207260047,-223.179693565776,193,1,28.579,0.0
738,,,,-153.91207260047,-222.179693565776,194,1,28.575,0.0
739,,,,-152.91207260047,-221.179693565776,195,1,28.57,0.0
740,,,,-151.91207260047,-220.179693565776,196,1,28.563,0.0
741,,,,-150.91207260047,-219.179693565776,197,1,28.557,0.0
742,,,,-149.91207260047,-218.179693565776,198,1,28.551,0.0
743,,,,-148.91207260047,-217.179693565776,199,1,28.544,0.0
744,,,,-147.91207260047,-216.179693565776,200,1,28.539,0.0
745,,,,-146.91207260047,-215.179693565776,201,1,28.534,0.0
746,,,,-145.91207260047,-214.179693565776,202,1,28.531,0.0
747,,,,-144.91207260047,-213.179693565776,203,1,28.527,0.0
748,,,,-143.91207260047,-212.179693565776,204,1,28.523,0.0
749,,,,-142.91207260047,-211.179693565776,205,1,28.519,0.0
750,,,,-141.91207260047,-210.179693565776,206,1,28.516,0.0
751,,,,-140.91207260047,-209.179693565776,207,1,28.51,0.0
752,,,,-139.91207260047,-208.179693565776,208,1,28.503,0.0
753,,,,-138.91207260047,-207.179693565776,209,1,28.495,0.0
754,,,,-137.91207260047,-206.179693565776,210,1,28.489,0.0
755,,,,-136.91207260047,-205.179693565776,211,1,28.483,0.0
756,,,,-135.91207260047,-204.179693565776,212,1,28.477,0.0
757,,,,-134.91207260047,-203.179693565776,213,1,28.473,0.0
758,,,,-133.91207260047,-202.179693565776,214,1,28.466,0.0
759,,,,-132.91207260047,-201.179693565776,215,1,28.458,0.0
760,,,,-131.91207260047,-200.179693565776,216,1,28.451,0.0
761,,,,-130.91207260047,-199.179693565776,217,1,28.444,0.0
762,,,,-129.91207260047,-198.179693565776,218,1,28.438,0.0
763,,,,-128.91207260047,-197.179693565776,219,1,28.435,0.0
