leg,tickLead,tickRace,distance,area
0,176.0,81.0,43.332,0.0
0,256.0,161.0,43.324,0.0
0,756.0,661.0,43.293,0.0
0,764.0,669.0,43.269,0.0
0,772.0,677.0,43.242,0.0
0,780.0,685.0,43.166,0.0
0,784.0,689.0,43.127,0.0
0,788.0,693.0,43.083,0.0
0,796.0,701.0,43.033,0.0
1,800.0,705.0,43.001,0.0
1,804.0,709.0,42.96,0.0
1,808.0,713.0,42.923,0.0
1,812.0,717.0,42.884,0.0
1,820.0,725.0,42.803,0.0
1,824.0,729.0,42.761,0.0
1,832.0,737.0,42.689,0.0
1,836.0,741.0,42.654,0.0
1,844.0,749.0,42.588,0.0
1,852.0,757.0,42.525,0.0
1,856.0,761.0,42.489,0.0
2,864.0,769.0,42.419,1.4693960123141438e-9
2,868.0,773.0,42.381,8.003457392036778e-10
2,872.0,777.0,42.344,7.821827783768975e-10
2,880.0,785.0,42.27,1.5766492233760295e-9
2,884.0,789.0,42.23,8.549632129679063e-10
2,892.0,797.0,42.153,1.6583989120115118e-9
2,896.0,801.0,42.11,9.289489444752987e-10
2,904.0,809.0,42.034,1.6541833280563304e-9
2,908.0,813.0,41.994,8.73269575680782e-10
2,916.0,821.0,41.91,1.8472934425064718e-9
2,920.0,825.0,41.866,9.703727396602066e-10
2,928.0,833.0,41.789,1.7104448199198382e-9
2,932.0,837.0,41.768,4.679468294771717e-10
2,956.0,861.0,41.761,1.599453717198682e-10
2,964.0,869.0,41.72,9.4411956267084e-10
2,968.0,873.0,41.697,5.314179544657794e-10
2,976.0,881.0,41.658,9.078718361920254e-10
2,980.0,885.0,41.637,4.905042403280796e-10
3,988.0,893.0,41.608,6.824825683535402e-10
3,996.0,901.0,41.602,1.4228678745464439e-10
3,1144.0,1049.0,41.58,5.990409709509722e-10
3,1148.0,1053.0,41.544,9.829904208539057e-10
3,1156.0,1061.0,41.469,2.059414042502602e-9
3,1164.0,1069.0,41.39,2.180209473466947e-9
3,1168.0,1073.0,41.353,1.0231853022770361e-9
3,1172.0,1077.0,41.314,1.0811920886062301e-9
3,1180.0,1085.0,41.234,2.2297543146749147e-9
3,1184.0,1089.0,41.191,1.2007637734957093e-9
3,1192.0,1097.0,41.128,1.7688677097874684e-9
3,1196.0,1101.0,41.092,1.012953748808498e-9
3,1204.0,1109.0,41.03,1.7541073052260219e-9
3,1216.0,1121.0,41.011,5.423711551213676e-10
3,1220.0,1125.0,41.003,2.290426051487377e-10
