leg,tickLead,tickRace,distance,area
0,-1474.0,-1779.0,26.576,0.0
0,-1473.0,-1778.0,26.574,0.0
0,-1472.0,-1777.0,26.571,0.0
0,-1471.0,-1776.0,26.568,0.0
0,-1470.0,-1775.0,26.565,0.0
0,-1469.0,-1774.0,26.561,0.0
0,-1468.0,-1773.0,26.557,0.0
0,-1467.0,-1772.0,26.555,0.0
0,-1466.0,-1771.0,26.551,0.0
0,-1465.0,-1770.0,26.548,0.0
0,-1464.0,-1769.0,26.547,0.0
0,-1463.0,-1768.0,26.546,0.0
0,-1391.0,-1696.0,26.542,0.0
0,-1390.0,-1695.0,26.537,0.0
0,-1389.0,-1694.0,26.532,0.0
0,-1388.0,-1693.0,26.528,0.0
0,-1387.0,-1692.0,26.52,0.0
0,-1386.0,-1691.0,26.512,0.0
0,-1385.0,-1690.0,26.503,0.0
0,-1384.0,-1689.0,26.495,0.0
0,-1383.0,-1688.0,26.49,0.0
0,-1371.0,-1676.0,26.487,0.0
0,-1370.0,-1675.0,26.48,0.0
0,-1369.0,-1674.0,26.475,0.0
0,-1368.0,-1673.0,26.474,0.0
0,-1367.0,-1672.0,26.472,0.0
0,-1336.0,-1641.0,26.464,0.0
0,-1335.0,-1640.0,26.46,0.0
0,-1334.0,-1639.0,26.458,0.0
0,-1296.0,-1601.0,26.451,0.0
0,-1295.0,-1600.0,26.444,0.0
0,-1294.0,-1599.0,26.436,0.0
0,-1293.0,-1598.0,26.429,0.0
0,-1292.0,-1597.0,26.419,0.0
0,-1291.0,-1596.0,26.411,0.0
0,-1290.0,-1595.0,26.403,0.0
0,-1289.0,-1594.0,26.395,0.0
0,-1288.0,-1593.0,26.386,0.0
0,-1287.0,-1592.0,26.377,0.0
0,-1286.0,-1591.0,26.367,0.0
0,-1285.0,-1590.0,26.358,0.0
1,-1284.0,-1589.0,26.352,0.0
1,-1283.0,-1588.0,26.348,0.0
1,-1265.0,-1570.0,26.34,0.0
1,-1264.0,-1569.0,26.333,0.0
1,-1263.0,-1568.0,26.325,0.0
1,-1262.0,-1567.0,26.318,0.0
1,-1261.0,-1566.0,26.31,0.0
1,-1260.0,-1565.0,26.302,0.0
1,-1259.0,-1564.0,26.295,0.0
1,-1258.0,-1563.0,26.288,0.0
1,-1257.0,-1562.0,26.283,0.0
1,-1256.0,-1561.0,26.276,0.0
1,-1255.0,-1560.0,26.267,0.0
1,-1254.0,-1559.0,26.259,0.0
1,-1253.0,-1558.0,26.252,0.0
1,-1252.0,-1557.0,26.245,0.0
1,-1251.0,-1556.0,26.24,0.0
1,-1250.0,-1555.0,26.233,0.0
1,-1249.0,-1554.0,26.226,0.0
1,-1248.0,-1553.0,26.221,0.0
