fixIdx,time,lat,lng,alt,tickLead,tickRace,zoneIdx,legIdx,togo,area
49,,,,339.0,-850.500435001048,-918.544748953355,1,0,27.577,0.0
50,,,,339.0,-849.500435001048,-917.544748953355,2,0,27.575,0.0
51,,,,339.0,-848.500435001048,-916.544748953355,3,0,27.573,0.0
53,,,,339.0,-846.500435001048,-914.544748953355,5,0,27.571,0.0
54,,,,339.0,-845.500435001048,-913.544748953355,6,0,27.566,0.0
55,,,,339.0,-844.500435001048,-912.544748953355,7,0,27.561,0.0
56,,,,339.0,-843.500435001048,-911.544748953355,8,0,27.553,0.0
57,,,,339.0,-842.500435001048,-910.544748953355,9,0,27.551,0.0
74,,,,339.0,-825.500435001048,-893.544748953355,26,0,27.55,0.0
75,,,,339.0,-824.500435001048,-892.544748953355,27,0,27.537,0.0
76,,,,339.0,-823.500435001048,-891.544748953355,28,0,27.529,0.0
77,,,,339.0,-822.500435001048,-890.544748953355,29,0,27.526,0.0
81,,,,339.0,-818.500435001048,-886.544748953355,33,0,27.525,0.0
82,,,,339.0,-817.500435001048,-885.544748953355,34,0,27.517,0.0
83,,,,339.0,-816.500435001048,-884.544748953355,35,0,27.508,0.0
98,,,,339.0,-801.500435001048,-869.544748953355,50,0,27.507,0.0
99,,,,339.0,-800.500435001048,-868.544748953355,51,0,27.499,0.0
100,,,,339.0,-799.500435001048,-867.544748953355,52,0,27.492,0.0
101,,,,339.0,-798.500435001048,-866.544748953355,53,0,27.488,0.0
102,,,,339.0,-797.500435001048,-865.544748953355,54,0,27.487,0.0
110,,,,339.0,-789.500435001048,-857.544748953355,62,0,27.484,0.0
111,,,,339.0,-788.500435001048,-856.544748953355,63,0,27.477,0.0
112,,,,339.0,-787.500435001048,-855.544748953355,64,0,27.476,0.0
113,,,,339.0,-786.500435001048,-854.544748953355,65,0,27.469,0.0
122,,,,339.0,-777.500435001048,-845.544748953355,74,0,27.463,0.0
123,,,,339.0,-776.500435001048,-844.544748953355,75,0,27.456,0.0
124,,,,339.0,-775.500435001048,-843.544748953355,76,0,27.45,0.0
125,,,,339.0,-774.500435001048,-842.544748953355,77,0,27.441,0.0
126,,,,339.0,-773.500435001048,-841.544748953355,78,0,27.44,0.0
135,,,,339.0,-764.500435001048,-832.544748953355,87,0,27.435,0.0
136,,,,339.0,-763.500435001048,-831.544748953355,88,0,27.43,0.0
137,,,,339.0,-762.500435001048,-830.544748953355,89,0,27.423,0.0
138,,,,339.0,-761.500435001048,-829.544748953355,90,0,27.418,0.0
147,,,,339.0,-752.500435001048,-820.544748953355,99,0,27.415,0.0
148,,,,339.0,-751.500435001048,-819.544748953355,100,0,27.411,0.0
149,,,,339.0,-750.500435001048,-818.544748953355,101,0,27.407,0.0
