fixIdx,time,lat,lng,alt,tickLead,tickRace,zoneIdx,legIdx,togo,area
12,,,,301.0,-981.72256351248,-1075.63087379305,1,0,39.702,0.0
82,,,,301.0,-911.72256351248,-1005.63087379305,5,1,39.695,0.0
83,,,,301.0,-910.72256351248,-1004.63087379305,6,1,39.694,0.0
97,,,,301.0,-896.72256351248,-990.63087379305,20,1,39.688,0.0
98,,,,301.0,-895.72256351248,-989.63087379305,21,1,39.673,0.0
99,,,,301.0,-894.72256351248,-988.63087379305,22,1,39.657,0.0
100,,,,301.0,-893.72256351248,-987.63087379305,23,1,39.646,0.0
101,,,,301.0,-892.72256351248,-986.63087379305,24,1,39.644,0.0
117,,,,301.0,-876.72256351248,-970.63087379305,40,1,39.64,0.0
118,,,,301.0,-875.72256351248,-969.63087379305,41,1,39.625,0.0
119,,,,301.0,-874.72256351248,-968.63087379305,42,1,39.624,0.0
120,,,,301.0,-873.72256351248,-967.63087379305,43,1,39.622,0.0
424,,,,301.0,-285.72256351248,-379.63087379305,347,1,39.608,0.0
425,,,,301.0,-284.72256351248,-378.63087379305,348,1,39.594,0.0
426,,,,301.0,-283.72256351248,-377.63087379305,349,1,39.577,0.0
427,,,,301.0,-282.72256351248,-376.63087379305,350,1,39.56,0.0
428,,,,301.0,-281.72256351248,-375.63087379305,351,1,39.55,0.0
429,,,,301.0,-280.72256351248,-374.63087379305,352,1,39.535,0.0
430,,,,301.0,-279.72256351248,-373.63087379305,353,1,39.529,0.0
431,,,,301.0,-278.72256351248,-372.63087379305,354,1,39.522,0.0
442,,,,301.0,-267.72256351248,-361.63087379305,365,1,39.521,0.0
443,,,,301.0,-266.72256351248,-360.63087379305,366,1,39.506,0.0
444,,,,301.0,-265.72256351248,-359.63087379305,367,1,39.489,0.0
445,,,,301.0,-264.72256351248,-358.63087379305,368,1,39.473,0.0
446,,,,301.0,-263.72256351248,-357.63087379305,369,1,39.459,0.0
447,,,,301.0,-262.72256351248,-356.63087379305,370,1,39.442,0.0
448,,,,301.0,-261.72256351248,-355.63087379305,371,1,39.426,0.0
449,,,,301.0,-260.72256351248,-354.63087379305,372,1,39.419,0.0
450,,,,301.0,-259.72256351248,-353.63087379305,373,1,39.411,0.0
451,,,,301.0,-258.72256351248,-352.63087379305,374,1,39.405,0.0
466,,,,301.0,-243.72256351248,-337.63087379305,389,1,39.4,0.0
467,,,,301.0,-242.72256351248,-336.63087379305,390,1,39.387,0.0
468,,,,301.0,-241.72256351248,-335.63087379305,391,1,39.367,0.0
469,,,,301.0,-240.72256351248,-334.63087379305,392,1,39.35,0.0
470,,,,301.0,-239.72256351248,-333.63087379305,393,1,39.334,0.0
