fixIdx,legIdx,zoneIdx,tickLead,tickRace,time,lat,lng,alt,togo
59,1,1,-2973.74855984507,-3073.387018920685,,,,0.0,26.354
60,1,2,-2969.74855984507,-3069.387018920685,,,,0.0,26.349
61,1,3,-2965.74855984507,-3065.387018920685,,,,0.0,26.344
223,1,165,-2233.74855984507,-2333.387018920685,,,,0.0,26.34
224,1,166,-2228.74855984507,-2328.387018920685,,,,0.0,26.312
225,1,167,-2223.74855984507,-2323.387018920685,,,,0.0,26.282
226,1,168,-2218.74855984507,-2318.387018920685,,,,0.0,26.253
227,1,169,-2213.74855984507,-2313.387018920685,,,,0.0,26.223
228,1,170,-2209.74855984507,-2309.387018920685,,,,0.0,26.2
229,1,171,-2205.74855984507,-2305.387018920685,,,,0.0,26.176
230,1,172,-2201.74855984507,-2301.387018920685,,,,0.0,26.153
231,1,173,-2196.74855984507,-2296.387018920685,,,,0.0,26.119
232,1,174,-2192.74855984507,-2292.387018920685,,,,0.0,26.095
233,1,175,-2187.74855984507,-2287.387018920685,,,,0.0,26.053
234,1,176,-2183.74855984507,-2283.387018920685,,,,0.0,26.009
235,1,177,-2178.74855984507,-2278.387018920685,,,,0.0,25.965
236,1,178,-2173.74855984507,-2273.387018920685,,,,0.0,25.921
237,1,179,-2169.74855984507,-2269.387018920685,,,,0.0,25.89
238,1,180,-2164.74855984507,-2264.387018920685,,,,0.0,25.845
239,1,181,-2159.74855984507,-2259.387018920685,,,,0.0,25.806
242,1,184,-2145.74855984507,-2245.387018920685,,,,0.0,25.8
246,1,188,-2126.74855984507,-2226.387018920685,,,,0.0,25.795
247,1,189,-2122.74855984507,-2222.387018920685,,,,0.0,25.779
248,1,190,-2118.74855984507,-2218.387018920685,,,,0.0,25.766
249,1,191,-2113.74855984507,-2213.387018920685,,,,0.0,25.744
250,1,192,-2109.74855984507,-2209.387018920685,,,,0.0,25.722
356,1,298,-1632.74855984507,-1732.387018920685,,,,0.0,25.682
357,1,299,-1628.74855984507,-1728.387018920685,,,,0.0,25.667
358,1,300,-1623.74855984507,-1723.387018920685,,,,0.0,25.639
359,1,301,-1619.74855984507,-1719.387018920685,,,,0.0,25.606
360,1,302,-1615.74855984507,-1715.387018920685,,,,0.0,25.579
361,1,303,-1610.74855984507,-1710.387018920685,,,,0.0,25.548
362,1,304,-1606.74855984507,-1706.387018920685,,,,0.0,25.534
363,1,305,-1601.74855984507,-1701.387018920685,,,,0.0,25.525
365,1,307,-1592.74855984507,-1692.387018920685,,,,0.0,25.497
366,1,308,-1587.74855984507,-1687.387018920685,,,,0.0,25.461
374,1,316,-1549.74855984507,-1649.387018920685,,,,0.0,25.439
375,1,317,-1545.74855984507,-1645.387018920685,,,,0.0,25.407
376,1,318,-1540.74855984507,-1640.387018920685,,,,0.0,25.373
377,1,319,-1536.74855984507,-1636.387018920685,,,,0.0,25.35
378,1,320,-1531.74855984507,-1631.387018920685,,,,0.0,25.324
379,1,321,-1526.74855984507,-1626.387018920685,,,,0.0,25.304
380,1,322,-1522.74855984507,-1622.387018920685,,,,0.0,25.292
381,1,323,-1518.74855984507,-1618.387018920685,,,,0.0,25.273
382,1,324,-1513.74855984507,-1613.387018920685,,,,0.0,25.244
383,1,325,-1509.74855984507,-1609.387018920685,,,,0.0,25.213
384,1,326,-1505.74855984507,-1605.387018920685,,,,0.0,25.18
385,1,327,-1500.74855984507,-1600.387018920685,,,,0.0,25.147
386,1,328,-1495.74855984507,-1595.387018920685,,,,0.0,25.116
387,1,329,-1491.74855984507,-1591.387018920685,,,,0.0,25.087
388,1,330,-1487.74855984507,-1587.387018920685,,,,0.0,25.054
